train_loss,train_acc,val_loss,val_acc
1.260192905153547,0.54828,0.9578184396028518,0.6578
0.831640499891067,0.70534,0.8387915149331093,0.6993
0.7062065713867849,0.75094,0.7381890624761581,0.7371
0.6337286662690493,0.77606,0.7293695941567421,0.7492
0.5671827203156997,0.8015,0.6822314575314522,0.7669
0.5182884288381557,0.81852,0.6673839077353477,0.7734
0.47254842063602137,0.83306,0.7175186216831207,0.7659
0.42914178906654826,0.84796,0.6996471360325813,0.7731
0.390412443450519,0.86156,0.6643682450056076,0.7827
0.35719436635168234,0.87254,0.6625503212213516,0.7944
