train_loss,train_acc,val_loss,val_acc
0.9815243643683356,0.7054599218502482,0.34216926444976825,0.8871337579617834
0.39474777232956243,0.8763332981307425,0.271863701672987,0.9113375796178343
0.35531820799853353,0.8891118386313233,0.2300859720523543,0.9278980891719745
0.33108679144769104,0.8949202661315873,0.21584334977750386,0.9304458598726114
0.2972171137461791,0.9068539444503115,0.2101323519941283,0.9332484076433121
0.28051858234244426,0.911711901995987,0.20240234855322992,0.9327388535031848
0.27596740102445755,0.9124511564051114,0.20196900589105757,0.9329936305732484
0.2628262512184478,0.9180483683599113,0.18143491413041085,0.9393630573248407
0.24904849430596507,0.9202661315872849,0.1865317759618004,0.9429299363057325
0.2513998269632056,0.9192100538599641,0.18343477743479983,0.9396178343949044
