train_loss,train_acc,val_loss,val_acc
1.5275253580541026,0.4474,1.297133818268776,0.5449
1.1733902175815738,0.5763,1.1529264390468597,0.5877
1.0724520963065478,0.61348,1.0871074706315995,0.615
1.0286481967385934,0.63082,1.0591936498880385,0.6243
0.9892301820978826,0.64772,1.022905994951725,0.6382
0.9602676134328453,0.65546,1.0040194615721703,0.6456
0.9399755423774525,0.6639,0.9748999521136283,0.6503
0.9428191878357712,0.66346,1.0008639678359033,0.6503
0.9298426743064608,0.66896,1.0038950249552727,0.6458
0.9428577608599955,0.66436,1.0480533793568612,0.628
