train_loss,train_acc,val_loss,val_acc
0.9301655611821583,0.67772,0.6717246755957603,0.775
0.49044228968571646,0.83116,0.6066395536065101,0.8014
0.33567047681735485,0.88486,0.6183230385184288,0.7979
0.22521056630173508,0.92148,0.7328283011913299,0.7971
0.17185857306633676,0.94014,0.779804664850235,0.8034
0.13092931907395927,0.9536,0.835063649713993,0.8005
0.10428635451030366,0.96338,0.8384671419858932,0.8113
0.08609499084782235,0.96984,0.9246369257569313,0.8107
0.0729415912409218,0.9739,0.923619969189167,0.8166
0.056609335678572556,0.98042,1.0147032737731934,0.8039
