train_loss,train_acc,val_loss,val_acc
0.9661260107342078,0.6604,0.8057809174060822,0.7189
0.6816700690863083,0.7654,0.698343462496996,0.7668
0.559754801952109,0.80694,0.7010284304618836,0.7647
0.48897675075093094,0.83354,0.6069114580750465,0.805
0.40270155881132397,0.86066,0.6680159404873848,0.7957
0.3576619803753434,0.87646,0.6709107100963593,0.7979
0.3108111052032636,0.89228,0.7069867670536041,0.7876
0.2850558232440024,0.90188,0.6907295331358909,0.804
0.23222711724134124,0.92012,0.7457691237330437,0.8079
0.21871831537965608,0.92398,0.7053328186273575,0.8116
