train_loss,train_acc,val_loss,val_acc
0.6086791336939141,0.8151863977188721,0.24413292689866015,0.9210191082802548
0.29130105895770564,0.9065371211321154,0.19481322893539701,0.9370700636942675
0.2455030703866804,0.9177315450417151,0.2034947557878355,0.9424203821656051
0.22753423331557093,0.9267082057239413,0.2016468697865929,0.9345222929936305
0.2087705946854643,0.933572710951526,0.19459705695612128,0.9406369426751592
0.20361113860397725,0.9332558876333298,0.19554096351972047,0.9380891719745222
0.2141086122876889,0.9314605554968846,0.16717935726425148,0.9464968152866242
0.19340874868873004,0.9368465519062203,0.17228639620494446,0.944203821656051
0.18051342555397265,0.9417045094518957,0.17629683006893676,0.9447133757961783
0.17091487539378372,0.9474073291794276,0.20397013069695522,0.9391082802547771
