train_loss,train_acc,val_loss,val_acc
0.8594725244507497,0.69904,0.562133365124464,0.809
0.3781747466751507,0.87142,0.5266922868788242,0.8267
0.21784729472532563,0.92506,0.5497978903353214,0.8356
0.13796755238151065,0.95358,0.5976628519594669,0.8366
0.10431219789446616,0.96388,0.6972284756600857,0.8215
0.08312672777671595,0.97204,0.6653516538441181,0.8373
0.0657149872894646,0.9777,0.6857874065637588,0.8416
0.05399386668387724,0.98152,0.7204667709767818,0.8403
0.04419518132665556,0.98482,0.7906311936676502,0.8364
0.0392535663499706,0.98674,0.7369029097259044,0.846
